,y
43776,0
21749,0
94236,0
55874,0
39155,0
39549,0
113063,0
65787,0
85150,1
97946,0
47071,0
30416,1
98518,0
29221,0
1154,0
16812,0
28695,0
52745,0
47496,0
97193,0
17888,0
28642,0
54893,0
12611,0
56055,0
15398,0
110122,0
75781,0
29486,0
36460,0
69472,0
30763,1
46070,0
11639,0
89213,0
52335,0
71350,0
40265,0
78572,0
65395,0
113142,1
29563,0
68531,1
28961,0
113640,0
25593,0
34881,0
81191,1
82844,0
67316,0
99505,0
14372,0
41866,1
100425,1
82864,0
57007,1
7479,0
44892,0
13051,0
26598,0
55718,0
33877,1
92267,0
103160,0
114622,0
61607,0
36004,0
95535,0
11335,0
34628,0
70539,0
62811,0
96626,0
10236,0
99143,0
4631,0
70473,0
106478,0
96580,0
2105,0
100804,0
34611,0
52623,0
43580,1
64847,0
58490,0
57153,0
69545,0
96478,1
7363,0
36309,0
40405,1
11738,0
1618,1
97698,0
64406,0
45809,0
86143,0
321,0
69042,0
28647,0
67820,0
57513,0
122896,0
18698,0
13373,0
39725,0
98791,1
60688,0
93074,0
74206,0
42720,0
2649,0
56072,0
49849,0
47325,0
90923,1
97128,0
79345,1
19318,0
67819,0
125373,0
46898,1
24407,0
2041,0
57119,0
17346,0
41342,0
64287,0
60753,0
59609,0
72463,1
56743,1
28497,0
27082,0
40002,1
17805,0
45814,0
95603,0
15359,0
35088,1
40590,1
26999,0
10762,0
36245,0
49458,0
4505,0
19849,0
63480,0
41978,0
107258,1
85212,0
39052,1
44081,0
78690,1
48387,0
58453,0
21903,0
95449,0
85888,0
679,0
67646,0
112704,1
20024,0
68261,0
10699,1
107685,1
67076,0
54506,0
19873,0
47824,0
28945,0
94793,0
62009,0
106227,0
75565,1
124344,0
72986,0
100186,0
19557,0
15475,0
23476,0
94957,0
14028,0
47473,0
77599,0
12708,0
27892,0
83811,0
76498,1
29769,0
72730,1
14448,0
77748,0
10824,1
27836,0
27967,0
102824,0
49712,0
64408,0
48919,0
26641,1
69854,0
9892,0
27309,1
2689,0
57881,0
27370,0
18005,0
72527,0
63734,0
66912,0
69064,0
17215,0
33661,0
35508,0
31502,0
87905,0
71230,0
83938,0
66489,0
25190,0
98633,0
78214,0
10509,0
98011,0
45840,1
109482,1
23517,1
84934,0
41536,0
91385,0
98081,0
34837,0
99879,1
10583,0
49357,0
29335,0
92190,1
92641,0
87330,0
83010,0
86574,1
22416,0
39214,0
9463,1
83746,0
61718,0
101034,0
80342,0
84785,0
16733,0
12430,0
48706,0
76357,0
52790,0
9615,0
27447,0
18556,0
96180,0
46303,0
64850,0
9955,0
94147,0
68144,0
113464,0
23662,0
25487,1
17386,1
62930,0
105617,0
44125,0
33641,0
14476,0
49467,0
64726,0
53995,0
83437,0
86726,1
93786,1
23748,0
113947,0
2916,0
18557,0
68691,0
35218,0
1431,0
13449,0
11201,0
109738,0
17333,1
26948,0
24595,0
66866,0
116271,0
55662,0
126551,0
1765,0
96479,1
115722,0
86393,0
44138,0
45267,0
52100,0
62734,0
27571,0
76139,0
27639,0
5091,0
59818,0
56175,0
42231,0
61735,0
3029,0
98616,0
8560,0
51277,0
51241,0
53616,0
6886,0
100718,0
17598,0
68715,0
60424,0
66081,0
39437,0
57533,0
45818,1
87052,0
55608,0
29389,0
57476,0
35044,1
82898,0
83200,0
58465,0
46708,1
45043,0
38989,0
62937,0
80946,1
70922,0
3842,0
113887,0
42872,1
41369,1
88644,0
54094,0
111219,0
26326,1
95687,0
187,1
95520,0
14140,1
33416,0
37032,0
21813,0
34452,0
2985,1
20955,0
2395,0
73183,0
85178,0
84434,0
20336,1
37662,0
25385,0
25234,1
17245,0
86840,0
31562,0
46103,0
13485,0
107369,0
11279,0
6642,0
58887,1
21842,0
70099,0
28285,0
99841,0
111685,0
101192,1
125073,0
71210,0
94314,0
67423,0
79994,0
96433,0
2508,0
69861,0
25486,1
80559,0
29299,0
22250,0
20040,0
67562,0
72573,1
29273,0
3161,0
3488,0
45201,0
27427,0
11290,1
71737,0
34697,0
84806,0
21146,0
4443,0
107072,0
114578,0
33481,0
53859,0
25874,0
93387,0
96483,0
92193,0
19810,0
34939,1
13465,0
6134,0
56746,0
43075,0
77232,0
71901,0
116086,0
30418,1
555,0
1489,0
16664,0
62345,0
67854,0
2340,0
55622,1
7249,1
64417,0
100838,0
67103,0
4628,0
105463,0
45166,0
43725,0
8611,0
41038,0
92817,0
70159,0
42346,0
1443,0
46458,0
87954,0
43267,0
34577,0
34151,1
69359,0
11506,1
51777,0
69228,0
30303,0
114794,0
13735,1
73337,0
8861,0
39325,0
42973,0
95698,1
10640,0
3965,0
31134,0
104214,0
32579,0
14440,0
95559,0
